Anom_ID,Accident_Date,Hour,Day_of_Week,Month_Name,Env,Light_Cond,Road,Traffic,Traffic_Control_Condition,Impact,Loc_Type,Severity,Injury_Event,No__of_Vehicles,No__of_Bicycles,No__of_Motorcycles,No__of_Pedestrians,No__of_Injuries,No__of_Minimal,No__of_Minor,No__of_Major,No__of_Fatal,Latitude,Longitude,Coord_Valid
20--1127,2020-01-22,9.0,Wednesday,January,Clear,Daylight,Dry,Traffic signal,01 - Functioning,Sideswipe,Intersection related,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.32218387,-75.77700683,True
20--1128,2020-01-22,9.0,Wednesday,January,Clear,Daylight,Wet,No control,Not Applicable,Rear end,Non intersection,Property Damage Only,0,3,0,0,0,0,0.0,0.0,0.0,0.0,45.38535036,-75.58561992,True
20--1129,2020-01-22,9.0,Wednesday,January,Clear,Daylight,Wet,Traffic signal,01 - Functioning,Angle,At intersection,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.422352,-75.63629129,True
20--113,2020-01-04,12.0,Saturday,January,Snow,Daylight,Wet,Stop sign,01 - Functioning,Angle,At intersection,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.26648071,-75.77269327,True
20--1130,2020-01-22,21.0,Wednesday,January,Snow,Dark,Slush,No control,Not Applicable,SMV unattended vehicle,At/near private drive,Property Damage Only,0,1,0,0,0,0,0.0,0.0,0.0,0.0,45.28242015,-75.89450121,True
20--1131,2020-01-23,13.0,Thursday,January,Clear,Daylight,Wet,Traffic signal,01 - Functioning,Rear end,Intersection related,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.35089473,-75.7335092,True
20--1132,2020-01-23,13.0,Thursday,January,Clear,Daylight,Slush,No control,Not Applicable,SMV unattended vehicle,Non intersection,Property Damage Only,0,1,0,0,0,0,0.0,0.0,0.0,0.0,45.40541662,-75.7277333,True
20--1133,2020-01-23,13.0,Thursday,January,Clear,Daylight,Wet,No control,Not Applicable,Angle,Intersection related,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.38939165,-75.67660779,True
20--1134,2020-01-23,13.0,Thursday,January,Clear,Daylight,Dry,Traffic signal,01 - Functioning,Turning movement,At intersection,Non-Fatal Injury,1,2,0,0,0,1,0.0,1.0,0.0,0.0,45.35090342,-75.7335172,True
20--1135,2020-01-23,10.0,Thursday,January,Clear,Daylight,Ice,No control,Not Applicable,SMV unattended vehicle,Non intersection,Property Damage Only,0,1,0,0,0,0,0.0,0.0,0.0,0.0,45.407137,-75.72552089,True
20--1136,2020-01-23,22.0,Thursday,January,Clear,Dark,Wet,Traffic signal,01 - Functioning,Turning movement,At intersection,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.37857168,-75.6675515,True
20--1137,2020-01-23,22.0,Thursday,January,Clear,Dark,Wet,Stop sign,01 - Functioning,Angle,At intersection,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.32497788,-75.72153146,True
20--1138,2020-01-23,10.0,Thursday,January,Clear,Daylight,Wet,No control,Not Applicable,Other,Non intersection,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.29361843,-75.63623111,True
20--1139,2020-01-23,11.0,Thursday,January,Clear,Daylight,Dry,No control,Not Applicable,Other,Non intersection,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.47369417,-75.53433785,True
20--114,2020-01-04,12.0,Saturday,January,Snow,Daylight,Wet,Roundabout,01 - Functioning,Angle,At intersection,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.2865955,-75.91742125,True
20--1140,2020-01-23,11.0,Thursday,January,Clear,Daylight,Dry,Traffic signal,01 - Functioning,Sideswipe,Intersection related,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.34754431,-75.78878635,True
20--1141,2020-01-23,11.0,Thursday,January,Snow,Daylight,Wet,Traffic signal,01 - Functioning,Sideswipe,Intersection related,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.41183353,-75.63045993,True
20--1142,2020-01-23,11.0,Thursday,January,Clear,Daylight,Dry,No control,Not Applicable,Other,Non intersection,Non-Fatal Injury,1,2,0,0,0,1,1.0,0.0,0.0,0.0,45.42034082,-75.63328492,True
20--1143,2020-01-23,,Thursday,January,Clear,Unknown,Loose snow,No control,Not Applicable,SMV unattended vehicle,Non intersection,Property Damage Only,0,1,0,0,0,0,0.0,0.0,0.0,0.0,45.39516135,-75.67615252,True
20--1144,2020-01-23,,Thursday,January,Clear,Unknown,Slush,No control,Not Applicable,SMV unattended vehicle,Non intersection,Property Damage Only,0,1,0,0,0,0,0.0,0.0,0.0,0.0,45.42431287,-75.68453164,True
20--1145,2020-01-23,,Thursday,January,Clear,Unknown,Packed snow,No control,Not Applicable,SMV unattended vehicle,Non intersection,Property Damage Only,0,1,0,0,0,0,0.0,0.0,0.0,0.0,45.27504116,-75.86413446,True
20--1146,2020-01-23,,Thursday,January,Clear,Unknown,Slush,No control,Not Applicable,SMV unattended vehicle,Non intersection,Property Damage Only,0,1,0,0,0,0,0.0,0.0,0.0,0.0,45.43189538,-75.57245655,True
20--1147,2020-01-23,12.0,Thursday,January,Clear,Daylight,Wet,No control,Not Applicable,Turning movement,At/near private drive,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.35117059,-75.67248925,True
20--1148,2020-01-23,12.0,Thursday,January,Clear,Daylight,Dry,No control,Not Applicable,Sideswipe,Non intersection,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.41974585,-75.6441613,True
20--1149,2020-01-23,12.0,Thursday,January,Clear,Daylight,Wet,Traffic signal,01 - Functioning,SMV other,At intersection,Non-Fatal Injury,1,1,0,0,1,1,0.0,1.0,0.0,0.0,45.44877602,-75.52199013,True
