Anom_ID,Accident_Date,Hour,Day_of_Week,Month_Name,Env,Light_Cond,Road,Traffic,Traffic_Control_Condition,Impact,Loc_Type,Severity,Injury_Event,No__of_Vehicles,No__of_Bicycles,No__of_Motorcycles,No__of_Pedestrians,No__of_Injuries,No__of_Minimal,No__of_Minor,No__of_Major,No__of_Fatal,Latitude,Longitude
20--1127,2020-01-22,9.0,Wednesday,January,Clear,Daylight,Dry,Traffic signal,01 - Functioning,Sideswipe,Intersection related,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.32218387,-75.77700683
20--1128,2020-01-22,9.0,Wednesday,January,Clear,Daylight,Wet,No control,Not Applicable,Rear end,Non intersection,Property Damage Only,0,3,0,0,0,0,0.0,0.0,0.0,0.0,45.38535036,-75.58561992
20--1129,2020-01-22,9.0,Wednesday,January,Clear,Daylight,Wet,Traffic signal,01 - Functioning,Angle,At intersection,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.422352,-75.63629129
20--113,2020-01-04,12.0,Saturday,January,Snow,Daylight,Wet,Stop sign,01 - Functioning,Angle,At intersection,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.26648071,-75.77269327
20--1130,2020-01-22,21.0,Wednesday,January,Snow,Dark,Slush,No control,Not Applicable,SMV unattended vehicle,At/near private drive,Property Damage Only,0,1,0,0,0,0,0.0,0.0,0.0,0.0,45.28242015,-75.89450121
20--1131,2020-01-23,13.0,Thursday,January,Clear,Daylight,Wet,Traffic signal,01 - Functioning,Rear end,Intersection related,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.35089473,-75.7335092
20--1132,2020-01-23,13.0,Thursday,January,Clear,Daylight,Slush,No control,Not Applicable,SMV unattended vehicle,Non intersection,Property Damage Only,0,1,0,0,0,0,0.0,0.0,0.0,0.0,45.40541662,-75.7277333
20--1133,2020-01-23,13.0,Thursday,January,Clear,Daylight,Wet,No control,Not Applicable,Angle,Intersection related,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.38939165,-75.67660779
20--1134,2020-01-23,13.0,Thursday,January,Clear,Daylight,Dry,Traffic signal,01 - Functioning,Turning movement,At intersection,Non-Fatal Injury,1,2,0,0,0,1,0.0,1.0,0.0,0.0,45.35090342,-75.7335172
20--1135,2020-01-23,10.0,Thursday,January,Clear,Daylight,Ice,No control,Not Applicable,SMV unattended vehicle,Non intersection,Property Damage Only,0,1,0,0,0,0,0.0,0.0,0.0,0.0,45.407137,-75.72552089
20--1136,2020-01-23,22.0,Thursday,January,Clear,Dark,Wet,Traffic signal,01 - Functioning,Turning movement,At intersection,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.37857168,-75.6675515
20--1137,2020-01-23,22.0,Thursday,January,Clear,Dark,Wet,Stop sign,01 - Functioning,Angle,At intersection,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.32497788,-75.72153146
20--1138,2020-01-23,10.0,Thursday,January,Clear,Daylight,Wet,No control,Not Applicable,Other,Non intersection,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.29361843,-75.63623111
20--1139,2020-01-23,11.0,Thursday,January,Clear,Daylight,Dry,No control,Not Applicable,Other,Non intersection,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.47369417,-75.53433785
20--114,2020-01-04,12.0,Saturday,January,Snow,Daylight,Wet,Roundabout,01 - Functioning,Angle,At intersection,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.2865955,-75.91742125
20--1140,2020-01-23,11.0,Thursday,January,Clear,Daylight,Dry,Traffic signal,01 - Functioning,Sideswipe,Intersection related,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.34754431,-75.78878635
20--1141,2020-01-23,11.0,Thursday,January,Snow,Daylight,Wet,Traffic signal,01 - Functioning,Sideswipe,Intersection related,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.41183353,-75.63045993
20--1142,2020-01-23,11.0,Thursday,January,Clear,Daylight,Dry,No control,Not Applicable,Other,Non intersection,Non-Fatal Injury,1,2,0,0,0,1,1.0,0.0,0.0,0.0,45.42034082,-75.63328492
20--1147,2020-01-23,12.0,Thursday,January,Clear,Daylight,Wet,No control,Not Applicable,Turning movement,At/near private drive,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.35117059,-75.67248925
20--1148,2020-01-23,12.0,Thursday,January,Clear,Daylight,Dry,No control,Not Applicable,Sideswipe,Non intersection,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.41974585,-75.6441613
20--1149,2020-01-23,12.0,Thursday,January,Clear,Daylight,Wet,Traffic signal,01 - Functioning,SMV other,At intersection,Non-Fatal Injury,1,1,0,0,1,1,0.0,1.0,0.0,0.0,45.44877602,-75.52199013
20--115,2020-01-04,12.0,Saturday,January,Rain,Daylight,Slush,No control,Not Applicable,Rear end,Non intersection,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.29519805,-75.89300186
20--1150,2020-01-23,14.0,Thursday,January,Clear,Daylight,Wet,Stop sign,00 - Unknown,Other,At intersection,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.26108585,-75.74081616
20--1151,2020-01-23,14.0,Thursday,January,Clear,Daylight,Dry,Traffic signal,01 - Functioning,Turning movement,At intersection,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.38508229,-75.62719229
20--1152,2020-01-23,14.0,Thursday,January,Clear,Daylight,Packed snow,No control,Not Applicable,Rear end,Non intersection,Non-Fatal Injury,1,2,0,0,0,1,1.0,0.0,0.0,0.0,45.33536125,-75.69115853
20--1153,2020-01-23,14.0,Thursday,January,Clear,Daylight,Loose snow,Traffic signal,01 - Functioning,Angle,At intersection,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.26435149,-75.88519424
20--1154,2020-01-23,14.0,Thursday,January,Clear,Daylight,Dry,No control,Not Applicable,Rear end,Non intersection,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.3914416,-75.7329041
20--1155,2020-01-23,14.0,Thursday,January,Clear,Daylight,Dry,Traffic signal,01 - Functioning,Rear end,Intersection related,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.43948471,-75.65180341
20--1156,2020-01-23,15.0,Thursday,January,Clear,Daylight,Dry,Traffic signal,01 - Functioning,Rear end,Intersection related,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.29917767,-75.90386271
20--1157,2020-01-23,15.0,Thursday,January,Clear,Daylight,Wet,No control,Not Applicable,Rear end,Non intersection,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.42710991,-75.66292715
20--1158,2020-01-23,16.0,Thursday,January,Clear,Dusk,Wet,Traffic signal,01 - Functioning,Rear end,Intersection related,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.33417398,-75.70057066
20--1159,2020-01-23,16.0,Thursday,January,Clear,Daylight,Dry,Stop sign,01 - Functioning,Other,Intersection related,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.41098097,-75.6984275
20--116,2020-01-04,12.0,Saturday,January,Clear,Daylight,Dry,Traffic signal,01 - Functioning,Turning movement,At intersection,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.42894914,-75.63999939
20--1160,2020-01-23,16.0,Thursday,January,Clear,Daylight,Dry,No control,Not Applicable,Sideswipe,Non intersection,Non-Fatal Injury,1,2,0,0,0,1,0.0,1.0,0.0,0.0,45.37326119,-75.69099518
20--1161,2020-01-23,16.0,Thursday,January,Clear,Dusk,Dry,No control,Not Applicable,Rear end,Non intersection,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.17426817,-76.04962718
20--1162,2020-01-23,17.0,Thursday,January,Clear,Dusk,Dry,No control,Not Applicable,Rear end,Non intersection,Non-Fatal Injury,1,3,0,0,0,1,1.0,0.0,0.0,0.0,45.41246943,-75.68261636
20--1163,2020-01-23,17.0,Thursday,January,Clear,Dusk,Wet,No control,Not Applicable,Rear end,Non intersection,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.45247732,-75.58281341
20--1164,2020-01-23,17.0,Thursday,January,Clear,Dusk,Wet,Traffic signal,01 - Functioning,Rear end,Intersection related,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.38991891,-75.69385945
20--1165,2020-01-23,17.0,Thursday,January,Clear,Dark,Dry,Traffic signal,01 - Functioning,Sideswipe,Intersection related,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.43447639,-75.66574617
20--1166,2020-01-23,17.0,Thursday,January,Clear,Dark,Dry,No control,Not Applicable,SMV other,Non intersection,Property Damage Only,0,1,0,0,0,0,0.0,0.0,0.0,0.0,45.25968055,-76.069294
20--1167,2020-01-23,17.0,Thursday,January,Clear,Dark,Dry,No control,Not Applicable,SMV unattended vehicle,Non intersection,Property Damage Only,0,1,0,0,0,0,0.0,0.0,0.0,0.0,45.40239675,-75.72616078
20--1168,2020-01-23,17.0,Thursday,January,Clear,Dark,Dry,No control,Not Applicable,Rear end,Non intersection,Property Damage Only,0,3,0,0,0,0,0.0,0.0,0.0,0.0,45.37667008,-75.69279833
20--1169,2020-01-23,6.0,Thursday,January,Clear,Dark,Wet,Traffic signal,01 - Functioning,Turning movement,At intersection,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.4007718,-75.72912608
20--117,2020-01-04,14.0,Saturday,January,Snow,Daylight,Wet,Traffic signal,01 - Functioning,Rear end,Intersection related,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.34098861,-75.7880217
20--1170,2020-01-23,18.0,Thursday,January,Clear,Dark,Wet,Traffic signal,01 - Functioning,Rear end,Intersection related,Non-Fatal Injury,1,2,0,0,0,1,0.0,1.0,0.0,0.0,45.2693151,-75.70002881
20--1171,2020-01-23,18.0,Thursday,January,Clear,Dark,Wet,Traffic signal,01 - Functioning,Angle,At intersection,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.38344727,-75.73955168
20--1172,2020-01-23,6.0,Thursday,January,Clear,Dark,Wet,No control,Not Applicable,Rear end,Non intersection,Non-Fatal Injury,1,2,0,0,0,1,0.0,1.0,0.0,0.0,45.37218573,-75.69084063
20--1173,2020-01-23,18.0,Thursday,January,Clear,Dark,Dry,Traffic signal,01 - Functioning,Turning movement,At intersection,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.34499489,-75.66598918
20--1174,2020-01-23,7.0,Thursday,January,Snow,Dawn,Loose snow,Traffic signal,01 - Functioning,Sideswipe,Intersection related,Property Damage Only,0,2,0,0,0,0,0.0,0.0,0.0,0.0,45.42471226,-75.63546331
20--1175,2020-01-23,19.0,Thursday,January,Clear,Dark,Dry,No control,Not Applicable,SMV unattended vehicle,Non intersection,Non-Fatal Injury,1,1,0,0,0,1,1.0,0.0,0.0,0.0,45.35600616,-75.7292249
